file_idx,event_idx,gen_particle_idx,eta,phi,pt,vx,vy,vz,sum_e,sum_e_minus_pt,Q2,x,y
0,685,2,-6.653274536133,0.845881938934,2.378257989883,0.0,0.0,0.0,2.447831632871,1.245157726589,5.889518737793,0.000140727352,0.039631064981
0,686,5,-7.319108009338,-0.970250606537,1.214278459549,0.0,0.0,0.0,1.648350795258,0.369616109469,1.545152425766,3.198742e-05,0.045743197203
0,687,27,-7.469277858734,1.738009691238,1.078620314598,0.0,0.0,0.0,2.409564924074,2.6147512304,1.181146144867,7.4536612e-05,0.015006120317
0,688,37,-6.831743240356,2.341005802155,1.88546359539,0.0,0.0,0.0,7.25796672555,11.598676942829,3.905988931656,4.1159488e-05,0.089866019785
0,689,2,-7.201251506805,-0.555330336094,1.300684332848,0.0,0.0,0.0,1.365948497593,0.39307760481,1.862127184868,1.9276005e-05,0.091480128467
0,690,14,-7.11424779892,-1.818524003029,1.374789834023,0.0,0.0,0.0,6.180872781147,7.618869140566,2.147133111954,1.6981425e-05,0.119734495878
0,691,11,-6.453417301178,1.888947248459,2.23690700531,0.0,0.0,0.0,4.47167583261,8.012635284146,6.764966964722,2.4606716e-05,0.260343372822
0,692,2,-6.968670845032,-2.755175352097,1.779187679291,0.0,0.0,0.0,7.96261240192,14.201232378913,3.214161396027,0.000201078001,0.015136921778
0,693,6,-7.423389434814,0.283134520054,1.130619168282,0.0,0.0,0.0,7.010426808643,11.012702244637,1.296225190163,8.8761801e-05,0.013828936964
0,694,7,-7.391183853149,-2.358384132385,1.155333757401,0.0,0.0,0.0,0.0,0.0,1.367912530899,5.3506334e-05,0.024209598079
0,695,1,-6.143955230713,2.191566705704,4.005782604218,0.0,0.0,0.0,7.70671768235,9.499026733749,16.508316040039,0.000558570377,0.027987191454
0,696,7,-6.028661251068,-1.442643523216,2.3975918293,0.0,0.0,0.0,6.47285042615,4.936856321076,11.088225364685,2.1803953e-05,0.481572031975
0,697,40,-7.451741218567,-1.853574037552,1.068230509758,0.0,0.0,0.0,3.980912021815,7.352702470664,1.19046330452,2.7196071e-05,0.041451886296
0,698,2,-6.772820949554,-0.001121541602,2.160823345184,0.0,0.0,0.0,5.290263854742,1.744680361051,4.748119831085,0.000270368822,0.016630277038
0,699,1,-6.657197475433,1.157764196396,2.387473344803,0.0,0.0,0.0,2.945874969009,1.814588175823,5.88919210434,0.000173623936,0.0321203731
0,700,57,-6.477205276489,0.77528989315,2.31510591507,0.0,0.0,0.0,4.846840548028,4.650953447962,6.83687543869,2.9965542e-05,0.216057822108
0,701,8,-7.174603462219,-2.24830365181,1.427266120911,0.0,0.0,0.0,1.382393055537,0.38548686604,2.098531723022,6.7872468e-05,0.029279006645
0,702,30,-6.485654354095,-2.549482107162,2.640283346176,0.0,0.0,0.0,2.107627238432,1.919672100804,7.731572151184,7.443627e-05,0.098359800875
0,703,1,-5.598766326904,1.292032718658,6.822115898132,0.0,0.0,0.0,27.12773281349,53.654593261585,48.496116638184,0.001139290398,0.040309458971
0,704,1,-7.38863992691,-1.484340786934,1.091618776321,0.0,0.0,0.0,2.740576144605,0.060916493778,1.295766234398,1.5268346e-05,0.080365397036
0,705,1,-7.101606845856,-2.844127655029,1.531093358994,0.0,0.0,0.0,0.540087240154,0.432081569701,2.421665906906,7.1732153e-05,0.031969424337
0,706,1,-6.740861415863,2.910596609116,2.209104061127,0.0,0.0,0.0,5.653499277529,5.994960907905,5.011855602264,0.000180590621,0.026280753314
